x,age,workclass,education,marital-status,relationship,race,gender,hours-per-week,income
1,39,State-gov,Bachelors,Never-married,Not-in-family,White,Male,40,<=50K
2,50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Husband,White,Male,13,<=50K
3,38,Private,HS-grad,Divorced,Not-in-family,White,Male,40,<=50K
4,53,Private,11th,Married-civ-spouse,Husband,Black,Male,40,<=50K
5,28,Private,Bachelors,Married-civ-spouse,Wife,Black,Female,40,<=50K
6,37,Private,Masters,Married-civ-spouse,Wife,White,Female,40,<=50K
7,49,Private,9th,Married-spouse-absent,Not-in-family,Black,Female,16,<=50K
8,52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,45,>50K
9,31,Private,Masters,Never-married,Not-in-family,White,Female,50,>50K
10,42,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
11,37,Private,Some-college,Married-civ-spouse,Husband,Black,Male,80,>50K
12,30,State-gov,Bachelors,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,>50K
13,23,Private,Bachelors,Never-married,Own-child,White,Female,30,<=50K
14,32,Private,Assoc-acdm,Never-married,Not-in-family,Black,Male,50,<=50K
15,40,Private,Assoc-voc,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,>50K
16,34,Private,7th-8th,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,45,<=50K
17,25,Self-emp-not-inc,HS-grad,Never-married,Own-child,White,Male,35,<=50K
18,32,Private,HS-grad,Never-married,Unmarried,White,Male,40,<=50K
19,38,Private,11th,Married-civ-spouse,Husband,White,Male,50,<=50K
20,43,Self-emp-not-inc,Masters,Divorced,Unmarried,White,Female,45,>50K
21,40,Private,Doctorate,Married-civ-spouse,Husband,White,Male,60,>50K
22,54,Private,HS-grad,Separated,Unmarried,Black,Female,20,<=50K
23,35,Federal-gov,9th,Married-civ-spouse,Husband,Black,Male,40,<=50K
24,43,Private,11th,Married-civ-spouse,Husband,White,Male,40,<=50K
25,59,Private,HS-grad,Divorced,Unmarried,White,Female,40,<=50K
26,56,Local-gov,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
27,19,Private,HS-grad,Never-married,Own-child,White,Male,40,<=50K
28,54,?,Some-college,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,60,>50K
29,39,Private,HS-grad,Divorced,Not-in-family,White,Male,80,<=50K
30,49,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
31,23,Local-gov,Assoc-acdm,Never-married,Not-in-family,White,Male,52,<=50K
32,20,Private,Some-college,Never-married,Own-child,Black,Male,44,<=50K
33,45,Private,Bachelors,Divorced,Own-child,White,Male,40,<=50K
34,30,Federal-gov,Some-college,Married-civ-spouse,Own-child,White,Male,40,<=50K
35,22,State-gov,Some-college,Married-civ-spouse,Husband,Black,Male,15,<=50K
36,48,Private,11th,Never-married,Unmarried,White,Male,40,<=50K
37,21,Private,Some-college,Never-married,Own-child,White,Male,40,<=50K
38,19,Private,HS-grad,Married-AF-spouse,Wife,White,Female,25,<=50K
39,31,Private,Some-college,Married-civ-spouse,Husband,White,Male,38,>50K
40,48,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,<=50K
41,31,Private,9th,Married-civ-spouse,Husband,White,Male,43,<=50K
42,53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Husband,White,Male,40,<=50K
43,24,Private,Bachelors,Married-civ-spouse,Husband,White,Male,50,<=50K
44,49,Private,HS-grad,Separated,Unmarried,White,Female,40,<=50K
45,25,Private,HS-grad,Never-married,Not-in-family,White,Male,35,<=50K
46,57,Federal-gov,Bachelors,Married-civ-spouse,Husband,Black,Male,40,>50K
47,53,Private,HS-grad,Married-civ-spouse,Husband,White,Male,38,<=50K
48,44,Private,Masters,Divorced,Unmarried,White,Female,40,<=50K
49,41,State-gov,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,<=50K
50,29,Private,Assoc-voc,Never-married,Not-in-family,White,Male,43,<=50K
51,25,Private,Some-college,Married-civ-spouse,Wife,Other,Female,40,<=50K
